Postal Code,Establishment Address,Address URL,Licence Number,Licensee Name,Business Name,Type of Food Business
738623,"4 WOODLANDS STREET 12 #01-33,Singapore 738623",https://www.sfa.gov.sg/tools-and-resources/track-records?licRefNo=MFM0133001&module=EHFE,MFM0133001,HE FENGMEI,NA,NEA Managed Foodstall
738623,"4 WOODLANDS STREET 12 #01-18,Singapore 738623",https://www.sfa.gov.sg/tools-and-resources/track-records?licRefNo=MFM0118002&module=EHFE,MFM0118002,YAP SIEW CHU,NA,NEA Managed Foodstall
738623,"4 WOODLANDS STREET 12 #01-50,Singapore 738623",https://www.sfa.gov.sg/tools-and-resources/track-records?licRefNo=MFM0150001&module=EHFE,MFM0150001,SONG SHUPING,NA,NEA Managed Foodstall
738623,"4 WOODLANDS STREET 12 #01-70,Singapore 738623",https://www.sfa.gov.sg/tools-and-resources/track-records?licRefNo=MFM0170001&module=EHFE,MFM0170001,QIU JINXIAN,NA,NEA Managed Foodstall
738623,"4 WOODLANDS STREET 12 #01-41,Singapore 738623",https://www.sfa.gov.sg/tools-and-resources/track-records?licRefNo=MFM0141001&module=EHFE,MFM0141001,AYSHA BINTE AKBAR ALI,Aysha Food Corner,NEA Managed Foodstall
738623,"4 WOODLANDS STREET 12 #02-61,Singapore 738623",https://www.sfa.gov.sg/tools-and-resources/track-records?licRefNo=NW17734V000&module=EHFE,NW17734V000,SHENG SIONG SUPERMARKET PTE LTD,SHENG SIONG SUPERMARKET,Supermarket (Large) - Sale area more than 200 sq metres
738623,"4 WOODLANDS STREET 12 #01-42,Singapore 738623",https://www.sfa.gov.sg/tools-and-resources/track-records?licRefNo=MFM0142001&module=EHFE,MFM0142001,ROBIAH BTE ZAKARIA,Suka Ramai Food Stall,NEA Managed Foodstall
738623,"4 WOODLANDS STREET 12 #01-34,Singapore 738623",https://www.sfa.gov.sg/tools-and-resources/track-records?licRefNo=MFM0134001&module=EHFE,MFM0134001,KOH LIAN TEE,NA,NEA Managed Foodstall
738623,"4 WOODLANDS STREET 12 #01-20,Singapore 738623",https://www.sfa.gov.sg/tools-and-resources/track-records?licRefNo=MFM0120001&module=EHFE,MFM0120001,TEO HOEE KOK,NA,NEA Managed Foodstall
738623,"4 WOODLANDS STREET 12 #01-08,Singapore 738623",https://www.sfa.gov.sg/tools-and-resources/track-records?licRefNo=MFM0108001&module=EHFE,MFM0108001,MAH KHENG BOON,San Ge Bao Fish Soup,NEA Managed Foodstall
738623,"4 WOODLANDS STREET 12 #01-22,Singapore 738623",https://www.sfa.gov.sg/tools-and-resources/track-records?licRefNo=MFM0122001&module=EHFE,MFM0122001,GOH HOCK CHUAN,NA,NEA Managed Foodstall
738623,"4 WOODLANDS STREET 12 #01-59,Singapore 738623",https://www.sfa.gov.sg/tools-and-resources/track-records?licRefNo=MFM0159001&module=EHFE,MFM0159001,CHNG LEE TIAN,NA,NEA Managed Foodstall
738623,"4 WOODLANDS STREET 12 #01-58,Singapore 738623",https://www.sfa.gov.sg/tools-and-resources/track-records?licRefNo=MFM0158001&module=EHFE,MFM0158001,NEO CHYE BOON (LIANG ZAIWEN),NA,NEA Managed Foodstall
738623,"4 WOODLANDS STREET 12 #01-65,Singapore 738623",https://www.sfa.gov.sg/tools-and-resources/track-records?licRefNo=MFM0165001&module=EHFE,MFM0165001,TAN BEE SUAN,QUAN LONG,NEA Managed Foodstall
738623,"4 WOODLANDS STREET 12 #01-43,Singapore 738623",https://www.sfa.gov.sg/tools-and-resources/track-records?licRefNo=MFM0143001&module=EHFE,MFM0143001,ARSHAD KASIM KADIRI,NA,NEA Managed Foodstall
738623,"4 WOODLANDS STREET 12 #01-12,Singapore 738623",https://www.sfa.gov.sg/tools-and-resources/track-records?licRefNo=MFM0112001&module=EHFE,MFM0112001,LEM CHING HENG,Zhu fu sugarcane coffee tea toast,NEA Managed Foodstall
738623,"4 WOODLANDS STREET 12 #01-62,Singapore 738623",https://www.sfa.gov.sg/tools-and-resources/track-records?licRefNo=MFM0162001&module=EHFE,MFM0162001,CHUA LAY SING,Jia Mei Cooked Food,NEA Managed Foodstall
738623,"4 WOODLANDS STREET 12 #01-74,Singapore 738623",https://www.sfa.gov.sg/tools-and-resources/track-records?licRefNo=MFM0174001&module=EHFE,MFM0174001,WONG KUAI MI,NA,NEA Managed Foodstall
738623,"4 WOODLANDS STREET 12 #02-01,MARSILING MALL,Singapore 738623 MARSILING MALL",https://www.sfa.gov.sg/tools-and-resources/track-records?licRefNo=NW18268A000&module=EHFE,NW18268A000,BURGER KING SINGAPORE PTE. LTD.,BURGER KING,Restaurant
738623,"4 WOODLANDS STREET 12 #01-54,Singapore 738623",https://www.sfa.gov.sg/tools-and-resources/track-records?licRefNo=MFM0154002&module=EHFE,MFM0154002,GOH SENG SIONG,NA,NEA Managed Foodstall
738623,"4 WOODLANDS STREET 12 #01-56,Singapore 738623",https://www.sfa.gov.sg/tools-and-resources/track-records?licRefNo=MFM0156002&module=EHFE,MFM0156002,ANG SING HENG,NA,NEA Managed Foodstall
738623,"4 WOODLANDS STREET 12 #01-07,Singapore 738623",https://www.sfa.gov.sg/tools-and-resources/track-records?licRefNo=MFM0107001&module=EHFE,MFM0107001,KEVIN YONG MEOW KHOON,No name,NEA Managed Foodstall
738623,"4 WOODLANDS STREET 12 #01-19,Singapore 738623",https://www.sfa.gov.sg/tools-and-resources/track-records?licRefNo=MFM0119002&module=EHFE,MFM0119002,TAN KIM SENG,YI DOU LI BAN MIAN,NEA Managed Foodstall
738623,"4 WOODLANDS STREET 12 #01-48,Singapore 738623",https://www.sfa.gov.sg/tools-and-resources/track-records?licRefNo=MFM0148001&module=EHFE,MFM0148001,ZHENG BAOXIAN @ZHEN BAOXIANY,Xiamen Shi Quan Da Bu,NEA Managed Foodstall
738623,"4 WOODLANDS STREET 12 #01-16,Singapore 738623",https://www.sfa.gov.sg/tools-and-resources/track-records?licRefNo=MFM0116002&module=EHFE,MFM0116002,HO WEE KEE,NA,NEA Managed Foodstall
738623,"4 WOODLANDS STREET 12 #01-29,Singapore 738623",https://www.sfa.gov.sg/tools-and-resources/track-records?licRefNo=MFM0129001&module=EHFE,MFM0129001,TAN KOON HAI,NA,NEA Managed Foodstall
